text,label
Win money now,phishing
Click here urgently,phishing
Claim your free reward,phishing
Update your bank details,phishing
You have won a lottery,phishing
Reset your password immediately,phishing
Meeting at 5 PM,safe
Project update attached,safe
Team meeting tomorrow,safe
Lunch at 1 PM,safe
Please review the document,safe
Schedule confirmed for today,safe
Important account verification,phishing
Limited time offer click now,phishing
Your invoice is attached,safe
Weekly report submission,safe
Congratulations you won cash prize,phishing
Verify your account now,phishing
Office meeting rescheduled,safe
Project deadline extended,safe
